INFO: BenchmarkParams{sampleLimit=null, threads=2, delayMs=300, gpuConfig='4090', modelName='qwen2.5-coder:14b-instruct-gptq4', modelUrl='http://195.209.214.245:7777/v1/completions', apiKey='null', contextSize=32768, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
1785, 400, 0
2505, 2982, 129
2422, 5567, 50
1758, 6464, 59
431, 295, 62
520, 249, 94
538, 687, 50
655, 646, 140
552, 205, 76
961, 1852, 115
780, 2066, 53
735, 1131, 59
1377, 5598, 43
1361, 1501, 102
789, 2202, 48
714, 1186, 84
1206, 4516, 95
1114, 1177, 73
939, 760, 36
1055, 4068, 57
288, 533, 0
5122, 16451, 38
4470, 6710, 60
1436, 562, 34
1561, 7216, 87
942, 360, 43
1005, 4112, 84
669, 1765, 16
629, 794, 48
352, 297, 44
425, 233, 58
523, 1824, 42
3014, 9009, 2
3827, 11943, 27
933, 527, 85
889, 3054, 71
784, 2627, 0
1039, 2470, 36
1940, 9551, 15
2026, 618, 107
559, 683, 61
394, 629, 48
1201, 5651, 70
1287, 1009, 84
819, 2486, 32
889, 2003, 46
914, 3083, 43
1239, 621, 177
615, 2231, 60
1156, 2310, 86
348, 474, 38
506, 937, 41
804, 198, 36
862, 3366, 55
476, 689, 31
605, 1066, 50
747, 215, 54
846, 3006, 59
2397, 382, 112
2825, 12089, 40
1891, 5576, 35
1472, 5466, 65
1166, 460, 45
1195, 5489, 52
453, 292, 58
1806, 1615, 75
2556, 10249, 98
361, 312, 40
613, 574, 130
3856, 14290, 50
3726, 6345, 64
3290, 2988, 88
3310, 14021, 59
1063, 481, 50
1184, 4833, 72
1602, 1804, 70
1645, 7202, 75
373, 759, 46
2551, 301, 56
3330, 14752, 61
2409, 9631, 57
2244, 1595, 66
962, 1080, 35
1012, 3754, 88
1844, 2010, 51
2088, 8260, 105
336, 273, 41
382, 447, 35
703, 584, 33
986, 3628, 55
568, 779, 48
623, 1454, 43
669, 294, 44
684, 2363, 66
1234, 6167, 25
1374, 1344, 62
850, 278, 44
852, 3708, 50
1410, 253, 19
1806, 7832, 96
422, 824, 59
487, 1192, 49
367, 1254, 33
798, 637, 56
1150, 4037, 72
370, 576, 29
564, 552, 72
518, 1026, 65
833, 514, 182
320, 199, 40
525, 1163, 100
301, 316, 31
446, 1125, 39
793, 1033, 60
2734, 13365, 56
3007, 2828, 79
699, 107, 40
861, 3160, 48
381, 192, 27
517, 391, 94
519, 618, 43
418, 690, 54
778, 967, 50
921, 2514, 106
485, 1819, 0
4519, 14649, 37
4215, 9790, 78
375, 699, 33
440, 1228, 16
1021, 3892, 57
584, 793, 48
415, 1413, 0
1222, 3942, 52
562, 900, 78
1050, 278, 49
1043, 5028, 48
464, 483, 55
564, 437, 55
716, 1849, 63
976, 1350, 100
486, 1686, 32
2981, 8325, 38
3716, 11404, 90
2213, 317, 71
2590, 11281, 75
402, 1690, 0
767, 374, 90
625, 631, 28
595, 1413, 61
234, 330, 0
3940, 3471, 118
3604, 16114, 76
570, 1443, 29
436, 736, 41
894, 3075, 35
1010, 897, 101
1592, 3582, 59
1849, 6196, 86
573, 249, 25
671, 2226, 44
675, 2428, 45
818, 137, 140
706, 2531, 40
1041, 1474, 124
341, 227, 0
679, 1980, 99
1209, 2163, 38
1531, 5344, 100
1296, 1015, 104
729, 2812, 66
2300, 5475, 196
773, 3013, 56
1133, 1099, 131
567, 232, 38
344, 507, 31
402, 657, 41
470, 147, 49
2068, 3554, 55
2095, 8164, 96
830, 618, 70
913, 2715, 126
487, 1753, 28
613, 543, 34
1032, 3133, 122
1157, 944, 135
927, 3054, 39
812, 430, 106
760, 624, 45
869, 2789, 76
1776, 7850, 28
1690, 2242, 36
4514, 2899, 48
4438, 20114, 25
578, 222, 49
658, 1390, 124
681, 273, 0
990, 3531, 66
542, 2066, 21
854, 1095, 76
659, 1558, 22
682, 1215, 56
2627, 3116, 7
3045, 12100, 92
475, 413, 79
1171, 596, 42
1688, 8057, 68
879, 2465, 81
1775, 2044, 111
536, 2030, 29
520, 639, 36
598, 963, 61
1081, 2554, 35
1255, 2880, 116
1827, 652, 50
1977, 8876, 74
1827, 718, 31
1983, 9204, 52
811, 1848, 120
896, 486, 145
1476, 3470, 23
1462, 4996, 88
1198, 358, 88
1235, 5350, 113
3707, 14218, 22
3951, 7740, 53
288, 354, 0
538, 321, 5
1212, 5597, 43
1079, 1805, 44
1199, 3769, 115
1696, 2231, 52
1537, 7406, 66
532, 405, 42
772, 1126, 115
342, 122, 44
409, 719, 56
961, 392, 133
1210, 369, 61
1446, 6159, 83
924, 1227, 75
893, 2752, 95
607, 1484, 12
597, 931, 32
1365, 2211, 72
1391, 5349, 52
1056, 454, 36
1063, 5204, 27
620, 811, 56
904, 1665, 114
1694, 9077, 0
575, 1546, 24
2439, 3949, 101
521, 963, 47
467, 284, 83
630, 1419, 31
578, 817, 45
1595, 5131, 37
1658, 3233, 78
1812, 7270, 32
1771, 3099, 92
848, 1267, 46
922, 2612, 52
533, 1423, 41
739, 393, 110
290, 750, 0
375, 542, 37
440, 1320, 17
388, 497, 62
472, 1054, 56
2010, 980, 32
2902, 11969, 144
896, 3640, 47
1204, 1659, 117
617, 1652, 9
684, 1761, 18
663, 406, 52
863, 1654, 170
877, 1979, 68
690, 1204, 102
739, 574, 44
1031, 2247, 117
572, 2034, 17
2203, 5384, 0
3031, 10677, 38
435, 218, 48
1016, 2780, 132
383, 791, 42
1236, 5623, 29
889, 555, 40
785, 2113, 46
858, 1534, 94
256, 235, 0
500, 1024, 46
4644, 932, 71
4972, 21139, 50
354, 124, 68
382, 284, 82
1036, 1816, 59
932, 3467, 131
541, 811, 42
568, 842, 88
726, 189, 48
735, 2657, 85
711, 309, 128
703, 1621, 107
1028, 3144, 2
945, 2387, 35
466, 483, 61
565, 972, 81
1463, 714, 71
1539, 6634, 105
422, 1785, 0
734, 544, 83
477, 648, 46
339, 235, 56
480, 437, 44
435, 582, 52
864, 2041, 54
912, 1961, 90
522, 133, 28
477, 1193, 32
583, 1214, 51
620, 1021, 49
868, 829, 44
1384, 3523, 168
472, 516, 53
421, 372, 81
389, 1425, 0
1066, 481, 126
4893, 444, 45
5438, 21831, 91
309, 313, 48
301, 664, 3
798, 1303, 104
385, 577, 49
2641, 5700, 86
2217, 9446, 74
666, 2628, 24
911, 1257, 77
994, 432, 64
910, 4049, 47
871, 1772, 33
774, 2499, 87
1940, 5669, 60
2084, 5095, 104
478, 1025, 7
389, 614, 40
427, 186, 34
418, 701, 39
5071, 2047, 89
5206, 21686, 117
594, 2824, 0
3042, 9221, 72
2192, 4322, 101
389, 604, 41
659, 612, 68
2486, 784, 59
2645, 12203, 74
551, 136, 57
539, 1340, 70
557, 875, 33
583, 982, 50
857, 242, 90
