INFO: BenchmarkParams{sampleLimit=null, threads=2, delayMs=300, gpuConfig='4090x2', modelName='qwen2.5-coder:14b-instruct-gptq4', modelUrl='http://195.209.214.245:7777/v1/completions', apiKey='null', contextSize=4096, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
742, 400, 0
1350, 2982, 129
368, 249, 94
451, 295, 62
491, 646, 140
411, 687, 50
350, 205, 75
750, 2066, 53
1037, 1852, 115
639, 2202, 48
858, 1131, 59
626, 1501, 102
258, 533, 0
504, 1186, 84
329, 562, 34
542, 1177, 73
305, 360, 43
558, 1765, 16
587, 760, 36
291, 297, 44
535, 1824, 42
403, 794, 48
386, 233, 58
421, 527, 85
1039, 2470, 36
896, 3054, 71
605, 2627, 0
827, 618, 107
473, 629, 48
378, 683, 61
423, 1009, 84
541, 2003, 46
578, 2486, 32
1111, 621, 168
725, 3083, 43
899, 2231, 60
970, 2310, 86
326, 474, 38
466, 937, 41
760, 198, 36
816, 3366, 55
424, 689, 31
539, 1066, 50
676, 215, 54
776, 3006, 59
363, 382, 112
340, 460, 45
273, 312, 40
375, 292, 58
878, 1615, 75
1021, 2988, 88
445, 574, 130
560, 1595, 66
330, 481, 50
901, 1804, 70
1121, 3754, 88
648, 759, 46
632, 2010, 51
350, 273, 30
410, 301, 56
615, 1080, 35
992, 3628, 55
340, 779, 48
338, 447, 35
291, 294, 44
324, 584, 33
428, 1344, 62
453, 1454, 43
1161, 3708, 50
827, 2363, 66
228, 253, 19
306, 278, 44
355, 824, 59
556, 1254, 33
557, 1192, 49
365, 637, 56
304, 576, 29
370, 552, 72
513, 514, 182
425, 1026, 65
531, 1163, 100
269, 199, 40
404, 316, 31
590, 1033, 60
410, 1125, 39
756, 3160, 48
372, 192, 27
1291, 2828, 81
323, 107, 40
460, 618, 43
738, 391, 94
749, 2514, 106
362, 690, 54
347, 699, 33
399, 967, 50
624, 1819, 0
1103, 3892, 57
370, 1413, 0
407, 1228, 14
482, 900, 78
362, 793, 48
835, 483, 55
975, 3942, 52
520, 278, 49
687, 1350, 100
397, 437, 55
308, 317, 71
537, 1849, 63
421, 374, 90
692, 1686, 32
512, 1413, 61
428, 1690, 0
1234, 3471, 118
344, 631, 28
415, 1443, 29
229, 330, 0
854, 3075, 35
364, 736, 41
571, 897, 101
286, 249, 25
837, 3582, 59
883, 137, 131
847, 2531, 40
918, 2226, 44
787, 1980, 0
862, 2428, 45
736, 2163, 38
818, 1474, 124
227, 227, 0
533, 1015, 93
680, 2812, 66
902, 3013, 56
600, 1099, 131
510, 232, 38
312, 507, 31
373, 657, 41
410, 147, 49
1216, 3554, 55
1040, 2715, 126
469, 1753, 28
640, 618, 70
769, 543, 34
939, 3133, 122
764, 3054, 39
1036, 944, 135
412, 624, 45
373, 430, 110
871, 2899, 48
1148, 2789, 76
710, 2242, 36
845, 1390, 124
223, 273, 0
326, 222, 49
571, 1095, 131
505, 1215, 56
1097, 3531, 66
967, 3116, 7
952, 2066, 21
478, 1558, 22
617, 413, 79
333, 596, 42
905, 2465, 81
1189, 2044, 111
520, 2030, 29
415, 963, 61
339, 639, 36
988, 2554, 35
883, 2880, 116
464, 652, 50
402, 718, 31
804, 1848, 162
610, 486, 145
768, 3470, 23
383, 358, 88
223, 354, 0
1056, 3769, 115
269, 321, 5
547, 1805, 44
878, 1126, 115
650, 2231, 48
820, 392, 133
307, 405, 42
334, 369, 61
286, 122, 44
