INFO: BenchmarkParams{sampleLimit=null, threads=2, delayMs=300, gpuConfig='4090x2', modelName='qwen2.5-coder:32b-instruct-qptq-int8', modelUrl='http://195.209.214.245:7777/v1/completions', apiKey='null', contextSize=4096, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
1361, 2982, 2
1531, 400, 35
511, 295, 16
680, 249, 94
907, 687, 50
1702, 646, 162
1736, 1852, 115
642, 205, 71
1454, 2066, 53
1603, 1131, 39
1398, 2202, 48
1972, 1501, 102
913, 533, 40
1261, 1186, 88
804, 562, 34
1397, 1177, 128
510, 360, 43
742, 760, 36
869, 1765, 16
498, 297, 44
1381, 794, 48
972, 1824, 42
479, 233, 58
808, 527, 85
1936, 2470, 36
2353, 3054, 71
1446, 2627, 61
1780, 618, 109
898, 629, 48
938, 683, 57
1384, 1009, 64
1151, 2003, 46
1288, 2486, 32
1527, 3083, 43
3215, 621, 162
1930, 2231, 84
2275, 2310, 86
599, 474, 38
1122, 937, 103
470, 198, 36
1440, 1066, 55
2000, 3366, 55
657, 689, 24
752, 215, 54
1601, 382, 112
1673, 3006, 59
613, 460, 45
598, 312, 40
901, 292, 58
1970, 1615, 75
1972, 2988, 88
904, 574, 124
1347, 1595, 66
609, 481, 50
2167, 1804, 70
2324, 3754, 88
1290, 759, 46
1284, 2010, 56
564, 273, 31
768, 301, 56
1486, 3628, 0
1811, 1080, 35
612, 779, 48
705, 294, 44
670, 447, 29
882, 584, 33
1049, 1344, 62
2042, 1454, 43
2048, 3708, 37
1098, 253, 19
1362, 2363, 66
786, 824, 59
523, 278, 44
656, 1254, 33
1098, 1192, 49
763, 637, 56
516, 552, 20
575, 576, 65
985, 1026, 44
1019, 514, 157
429, 199, 40
552, 316, 44
1224, 1163, 129
1161, 1125, 39
1057, 1033, 51
2153, 2828, 24
1801, 3160, 48
438, 192, 33
591, 107, 40
820, 618, 43
999, 391, 96
1318, 690, 54
1644, 2514, 34
1017, 967, 50
622, 699, 33
1471, 1819, 0
953, 1228, 14
2998, 3892, 57
918, 1413, 0
1132, 793, 48
1806, 3942, 52
2524, 900, 153
329, 278, 0
642, 483, 55
975, 437, 55
1407, 1849, 63
1906, 1350, 100
750, 1686, 2
544, 317, 73
1308, 374, 38
1277, 1690, 109
1018, 631, 28
1113, 1413, 34
586, 330, 0
2399, 3471, 118
1621, 736, 142
1112, 1443, 29
1070, 897, 101
2522, 3075, 35
2249, 3582, 59
1037, 249, 25
1267, 2226, 44
