INFO: BenchmarkParams{sampleLimit=null, threads=1, delayMs=300, gpuConfig='5090', modelName='qwen2.5-coder:14b', modelUrl='https://reproduce-bubble-females-recovery.trycloudflare.com/v1/completions', apiKey='null', contextSize=4096, tokenizer=D:\work\git\model-speed-benchmark\build\resources\main\tokenizer\Qwen2.5-Coder-14B.json, dataset=D:\work\git\model-speed-benchmark\build\resources\main\dataset\repoeval\line_level.java.test.jsonl, mock=false}

timeMs, contextTokensSize, responseCharsSize
953, 400, 0
882, 249, 94
618, 646, 132
582, 205, 71
692, 2066, 53
759, 2202, 48
479, 533, 0
531, 562, 34
528, 360, 43
652, 1765, 28
501, 297, 44
661, 1824, 42
634, 527, 85
818, 2470, 36
653, 618, 95
627, 629, 48
684, 2003, 46
859, 621, 168
1107, 2231, 60
457, 937, 41
1031, 3366, 55
540, 689, 31
1107, 3006, 59
483, 312, 40
970, 2988, 88
799, 1595, 66
618, 3754, 88
467, 2010, 51
463, 273, 41
920, 3628, 55
781, 779, 48
489, 294, 44
591, 1344, 62
620, 3708, 50
443, 253, 19
584, 824, 59
563, 1254, 33
799, 637, 56
509, 552, 57
588, 1026, 65
497, 199, 40
481, 316, 31
601, 1125, 39
487, 2828, 64
495, 107, 40
595, 391, 94
570, 690, 54
599, 967, 50
593, 1819, 0
639, 1228, 16
830, 793, 48
1035, 3942, 52
481, 278, 49
639, 437, 55
746, 1849, 79
707, 1686, 32
806, 1690, 0
557, 631, 28
429, 330, 0
628, 736, 41
651, 897, 101
1002, 3582, 59
777, 2226, 44
814, 2428, 45
776, 1474, 124
437, 227, 0
577, 3013, 56
599, 232, 38
510, 147, 49
1576, 2715, 130
635, 1753, 28
1008, 3133, 122
946, 3054, 39
519, 624, 45
822, 2899, 48
726, 1390, 124
659, 273, 0
668, 1095, 76
681, 1215, 56
962, 3116, 62
629, 413, 79
557, 596, 42
1148, 2044, 112
606, 963, 61
1011, 2554, 35
599, 718, 31
827, 1848, 142
932, 3470, 23
602, 358, 88
435, 354, 0
454, 321, 5
528, 1805, 44
727, 2231, 52
1024, 405, 42
488, 122, 44
576, 719, 56
1135, 2752, 95
461, 931, 32
490, 2211, 63
536, 454, 36
694, 1665, 114
1118, 3949, 101
630, 284, 73
571, 817, 45
1060, 3233, 78
606, 3099, 92
604, 1267, 46
649, 393, 110
574, 542, 37
539, 497, 62
1019, 3640, 49
599, 1652, 9
553, 406, 52
779, 1979, 68
558, 574, 44
716, 2034, 17
1030, 2780, 132
875, 2113, 46
582, 1024, 46
606, 932, 71
505, 124, 68
692, 1816, 76
583, 811, 42
540, 189, 48
580, 309, 109
844, 3144, 2
600, 972, 81
629, 1785, 0
530, 648, 46
517, 437, 44
797, 2041, 54
519, 133, 28
816, 1021, 49
543, 829, 44
591, 516, 53
633, 481, 129
524, 444, 45
488, 313, 48
515, 664, 3
559, 577, 49
522, 2628, 24
558, 432, 64
688, 1772, 33
531, 614, 40
544, 701, 39
801, 2047, 89
754, 612, 68
603, 784, 59
536, 136, 58
545, 875, 33
566, 242, 90
1038, 1180, 298
666, 1766, 62
506, 660, 36
696, 2360, 32
570, 190, 46
699, 1012, 118
734, 415, 55
604, 616, 109
590, 1266, 31
743, 2412, 31
502, 131, 32
666, 1623, 92
533, 88, 75
728, 2805, 0
864, 377, 89
498, 105, 40
747, 2330, 52
1299, 3475, 168
727, 3654, 107
885, 2995, 73
787, 1498, 0
795, 993, 43
553, 366, 80
692, 1789, 41
1075, 3516, 85
543, 1201, 3
650, 776, 38
501, 640, 39
656, 1859, 46
545, 509, 40
796, 2161, 51
1052, 3548, 67
453, 719, 0
659, 1306, 91
1125, 1908, 304
563, 142, 73
546, 370, 73
586, 320, 72
463, 571, 0
564, 982, 57
514, 388, 56
416, 1940, 17
861, 923, 42
826, 2728, 54
580, 942, 48
517, 2278, 57
801, 2794, 47
663, 2820, 58
551, 381, 46
944, 2952, 77
574, 1005, 31
477, 443, 31
539, 696, 47
1142, 3978, 121
798, 1876, 46
481, 548, 35
538, 789, 54
900, 2094, 137
618, 1096, 88
534, 297, 44
602, 947, 53
1207, 3878, 7
623, 1351, 53
516, 401, 25
510, 483, 46
587, 267, 77
734, 2800, 0
588, 1389, 28
727, 2039, 43
670, 487, 18
465, 423, 1
767, 3518, 39
514, 617, 41
540, 463, 66
541, 457, 54
541, 558, 60
522, 683, 36
1114, 493, 247
518, 589, 36
601, 549, 87
1022, 2980, 104
809, 841, 116
615, 1450, 33
613, 763, 91
506, 386, 52
630, 379, 73
618, 749, 52
496, 881, 61
442, 184, 40
634, 412, 47
517, 360, 41
937, 1994, 49
883, 3122, 21
516, 343, 66
629, 390, 112
585, 1821, 3
987, 3453, 43
478, 91, 56
473, 913, 44
742, 931, 152
657, 1558, 46
621, 311, 87
1013, 3640, 31
502, 1836, 31
530, 192, 78
525, 424, 44
557, 668, 50
1013, 1882, 66
485, 275, 16
714, 1674, 95
664, 1301, 82
504, 410, 36
525, 330, 33
474, 1512, 73
662, 1467, 0
948, 3099, 81
896, 2795, 71
963, 1245, 99
705, 1850, 29
716, 1747, 62
465, 673, 57
510, 663, 39
933, 3418, 44
780, 2853, 38
1045, 2763, 70
636, 610, 80
626, 3127, 42
573, 345, 66
936, 3367, 33
850, 2854, 31
711, 1539, 87
516, 340, 19
517, 421, 54
467, 650, 42
575, 913, 30
559, 802, 46
966, 3202, 36
746, 1970, 55
514, 447, 63
444, 657, 40
736, 2153, 31
475, 180, 34
607, 1234, 43
607, 1143, 35
834, 814, 64
541, 610, 38
707, 1390, 59
754, 315, 40
668, 1340, 38
541, 578, 50
751, 1041, 141
585, 708, 72
648, 1328, 37
752, 2195, 56
729, 1139, 75
1103, 2358, 81
783, 500, 73
590, 1106, 41
989, 3213, 30
549, 926, 44
699, 1538, 79
512, 721, 31
443, 751, 38
559, 937, 0
521, 510, 47
492, 946, 5
534, 615, 36
610, 1105, 65
743, 358, 82
811, 2072, 65
546, 319, 30
804, 1997, 65
559, 570, 45
814, 3365, 69
534, 444, 57
937, 3258, 57
642, 798, 101
627, 384, 0
506, 445, 49
789, 1922, 116
539, 398, 48
866, 3175, 29
607, 689, 83
612, 934, 60
622, 1152, 73
446, 205, 56
582, 898, 49
804, 2133, 79
802, 442, 65
998, 3346, 73
589, 1156, 61
466, 735, 44
481, 204, 31
520, 175, 71
592, 838, 96
721, 1544, 72
677, 1013, 110
762, 2402, 13
557, 1142, 12
623, 1561, 33
918, 3244, 60
755, 526, 144
717, 1200, 76
731, 2461, 67
610, 1074, 46
573, 574, 57
462, 464, 16
572, 639, 45
507, 621, 31
585, 1386, 101
742, 900, 75
660, 2386, 0
663, 1154, 95
680, 1788, 66
560, 262, 75
507, 1327, 61
935, 3049, 22
532, 191, 54
797, 1415, 101
573, 894, 46
638, 2568, 78
565, 3228, 25
652, 1352, 67
749, 3183, 85
556, 922, 46
915, 1668, 91
671, 1478, 60
638, 1517, 53
1091, 1372, 151
624, 905, 53
759, 393, 40
824, 2306, 43
525, 354, 34
1028, 3062, 58
952, 2882, 73
471, 1123, 52
506, 482, 41
